"match_url","team1","team2","score1","score2","AVG_KD1","AVG_KD2","AVG_ACS1","AVG_ACS2","map1","map2","map3","patch","date","league","winner"
"https://www.vlr.gg/461024/noez-foxx-vs-dfm-academy-challengers-league-2025-japan-split-2-w2","62","147","2","0","1.104","0.952","214.2","195.4","2","8","null","10.04","28-03-2025","3","1"
"https://www.vlr.gg/467364/vila-das-flores-vs-stellae-gaming-gc-game-changers-2025-brazil-stage-1-r3-0-2","153","154","2","1","1.194","0.784","226.6","169.2","9","2","8","10.05","31-03-2025","6","1"
"https://www.vlr.gg/462282/dnsty-vs-hge-esport-challengers-league-2025-spain-rising-split-2-w1","74","6","1","1","0.9860000000000001","1.028","196.8","210.2","6","2","3","10.04","24-03-2025","3","0.5"
"https://www.vlr.gg/464417/d-ti-ulice-vs-pixel-lumina-challengers-league-2025-north-east-split-2-r1","155","156","1","0","1.2439999999999998","0.762","237.8","187.8","null","null","null","10.04","30-03-2025","3","1"
"https://www.vlr.gg/459528/leviat-n-vs-cloud9-champions-tour-2025-americas-stage-1-w2","157","99","0","2","0.778","1.214","164.0","226.8","9","10","null","10.05","31-03-2025","1","0"
"https://www.vlr.gg/464415/zero-tenacity-vs-mir-challengers-league-2025-north-east-split-2-r1","158","159","1","0","1.148","0.706","205.2","150.8","6","null","null","10.04","30-03-2025","3","1"
"https://www.vlr.gg/461018/fennel-vs-sengoku-gaming-challengers-league-2025-japan-split-2-w2","160","122","2","0","1.142","0.826","211.6","182.0","10","6","null","10.04","26-03-2025","3","1"
"https://www.vlr.gg/461863/ret-vs-vila-das-flores-game-changers-2025-brazil-stage-1-r2-0-1","8","153","2","1","1.176","0.8440000000000001","216.6","169.0","9","8","10","10.05","25-03-2025","6","1"
"https://www.vlr.gg/466301/mandatory-vs-dvm-esport-challengers-league-2025-france-revolution-split-2-groups","87","135","2","0","1.036","0.9460000000000001","210.0","190.4","8","6","null","10.05","31-03-2025","3","1"
"https://www.vlr.gg/465978/koi-f-nix-vs-kpi-gaming-challengers-league-2025-spain-rising-split-2-w2","42","46","1","1","0.974","1.024","187.8","194.6","8","2","null","10.04","1-04-2025","3","0.5"
"https://www.vlr.gg/459832/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-w2","150","128","2","1","1.0239999999999998","0.96","202.8","188.2","4","8","10","10.05","2-04-2025","1","1"
"https://www.vlr.gg/455756/chivas-esports-vs-ab3-esports-challengers-league-2025-latam-north-ace-stage-1-w3","161","162","1","2","0.922","1.092","188.6","211.8","null","null","null","10.04","21-03-2025","3","0"
